numero;antes;depois;chegada_gps;erro_antes_h;erro_depois_h;veredito
C-2026-000430;2026-08-20 19:58:14.697989;2026-08-21 08:31:29;2026-08-20 08:46:29;11.2;23.8;piorou
C-2026-000433;2026-08-19 00:00:00;2026-08-20 21:39:18;2026-08-20 08:16:10;32.3;13.4;melhorou
C-2026-000434;2026-08-20 10:04:37.775518;2026-08-21 00:00:00;;;;sem referencia
C-2026-000435;2026-08-19 00:00:00;2026-08-20 23:45:58;2026-08-19 23:45:58;23.8;24.0;empate
C-2026-000436;2026-08-19 00:00:00;2026-08-20 16:01:39;2026-08-19 16:06:39;16.1;23.9;piorou
C-2026-000438;2026-08-21 10:03:04.790186;2026-08-22 20:12:53;2026-08-21 20:17:53;10.2;23.9;piorou
C-2026-000439;2026-08-21 10:03:04.783666;2026-08-22 12:25:37;2026-08-21 12:30:37;2.5;23.9;piorou
C-2026-000440;2026-08-21 03:54:01.821557;2026-08-21 23:24:34;2026-08-21 03:38:52;0.3;19.8;piorou
C-2026-000441;2026-08-21 10:03:04.789340;2026-08-23 21:14:16;2026-08-22 21:14:16;35.2;24.0;melhorou
C-2026-000442;2026-08-24 00:00:00;2026-08-21 16:54:23;2026-08-20 16:54:54;79.1;24.0;melhorou
C-2026-000443;2026-08-20 10:04:37.956526;2026-08-21 12:06:21;2026-08-20 14:14:06;4.2;21.9;piorou
C-2026-000444;2026-08-24 09:17:24.720131;2026-08-21 18:50:35;2026-08-20 18:55:35;86.4;23.9;melhorou
C-2026-000445;2026-08-25 11:35:09.508189;2026-08-22 16:00:19;2026-08-21 16:00:19;91.6;24.0;melhorou
C-2026-000448;2026-08-24 15:53:49.834797;2026-08-22 20:53:05;2026-08-21 20:58:05;66.9;23.9;melhorou
C-2026-000449;2026-08-24 13:54:37.824516;2026-08-23 19:21:55;2026-08-22 19:31:55;42.4;23.8;melhorou
C-2026-000453;2026-08-21 20:47:49.571446;2026-08-22 15:02:21;2026-08-21 17:45:22;3.0;21.3;piorou
